ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105011,1.957098,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105011,1.961364,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105011,1.967646,,ACCELERATE
-1,6.520878,6.489883,4.611052,4.58895,15.98896,0.2757431,3.105011,1.972244,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105011,1.978566,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105011,1.9855,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105011,1.990713,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105011,1.995107,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105011,2.001637,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105011,2.007136,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,2.014802,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757434,3.105011,2.021032,,ACCELERATE
-1,6.520882,6.489885,4.611051,4.588951,15.98896,0.2757434,3.105011,2.026582,,ACCELERATE
-1,6.520881,6.489885,4.611051,4.588951,15.98896,0.2757435,3.105011,2.031848,,ACCELERATE
-1,6.520881,6.489885,4.611051,4.588951,15.98896,0.2757437,3.105011,2.037061,,ACCELERATE
